primary_site,cancer_type,estimated_lifetime_probability_us_women_percent
Breast,Invasive ductal carcinoma,9.1
Breast,Invasive lobular carcinoma,1.3
Breast,Ductal carcinoma in situ,2.4
Breast,Triple-negative breast cancer,1.3
Breast,Inflammatory breast cancer,0.13
Uterus,Endometrioid carcinoma,2.3
Uterus,Uterine serous carcinoma,0.20
Uterus,Clear cell carcinoma,0.04
Uterus,Uterine carcinosarcoma,0.09
Uterus,Uterine leiomyosarcoma,0.05
Ovary,High-grade serous carcinoma,0.66
Ovary,Low-grade serous carcinoma,0.06
Ovary,Endometrioid carcinoma,0.11
Ovary,Clear cell carcinoma,0.11
Ovary,Mucinous carcinoma,0.03
Ovary,Ovarian germ cell tumor,0.02
Ovary,Sex cord-stromal tumor,0.02
