MetaFemina new-study exclusion ledger
=======================================
PMID | Published date | Screen | Code | Exposure | Cancer | Reason
38842242 | 2026-02-01 | second | S2-REVIEW | Alcohol | Breast cancer | This is a narrative review of alcohol-related health effects rather than an original human study.
38842242 | 2026-02-01 | first | S1-NOT-DIRECT | Mediterranean diet | Breast cancer | The Mediterranean diet is discussed for cardiovascular health and is not connected to breast cancer risk.
39292424 | 2026-04-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | The study examines alcohol consumption after cancer diagnosis among patients and not incident breast cancer risk.
39379328 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the drug-class term poly-ADP ribose polymerase inhibitors in ovarian cancer therapy.
40078050 | 2026-06-01 | first | S1-NOT-DIRECT | Beta-glucans | Breast cancer | The study tests beta-glucan nanoparticles against breast cancer cells for anticancer therapy rather than incident breast cancer risk.
40078050 | 2026-06-01 | first | S1-NOT-DIRECT | Oats | Breast cancer | Oats are merely the source material for nanoparticles tested against breast cancer cells and are not studied as a dietary risk exposure.
40146431 | 2026-02-01 | first | S1-NOT-DIRECT | Vitamin D | Breast cancer | The article investigates vitamin D3 anticancer mechanisms and therapeutic effects in breast cancer models rather than incident cancer risk.
40271107 | 2026 | first | S1-NOT-DIRECT | Sage | Breast cancer | Sage refers to the journal platform Sage Journals and not to nutritional exposure to the herb.
40313056 | 2026-02-01 | first | S1-NOT-DIRECT | Zinc | Uterine cancer | ZINC denotes a chemical compound database and identifier, while the studied disease is cervical rather than uterine cancer incidence.
40327273 | 2026-02-01 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only in the name of PARP inhibitors used for ovarian cancer treatment, while the study concerns olaparib-induced macrophage senescence.
40379904 | 2026-02-01 | first | S1-NOT-DIRECT | Resveratrol | Breast cancer | The article develops resveratrol-based compounds for breast cancer treatment and studies cellular mechanisms without an incidence question.
40389314 | 2026-03-02 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose occurs only within poly-ADP-ribose polymerase inhibitor terminology in a review of ovarian cancer therapy.
40395000 | 2026-07-01 | first | S1-NOT-DIRECT | Creatine | Breast cancer | Creatine is mentioned only as the laboratory marker creatine kinase in a breast cancer treatment adverse-event report.
40418669 | 2026-02-01 | first | S1-NOT-DIRECT | Turmeric | Breast cancer | Turmeric is only identified as the source of curcumin in a computational study of breast cancer stem-cell targeting and therapy.
40459043 | 2026-02-01 | first | S1-NOT-DIRECT | Lactobacillus | Breast cancer | The review concerns potential therapeutic roles of Lactobacillus strains in breast cancer management rather than breast cancer incidence.
40459043 | 2026-02-01 | first | S1-NOT-DIRECT | Probiotics | Breast cancer | The review discusses probiotics as potential therapeutic agents for breast cancer management without studying incident cancer risk.
40501080 | 2026-03-01 | first | S1-NOT-DIRECT | Alcohol | Breast cancer | The study examines alcohol-related lifestyle changes after breast cancer diagnosis and recurrence messaging rather than initial incidence.
40588797 | 2026-03-05 | first | S1-NOT-DIRECT | Calcium | Uterine cancer | Calcium appears through calcium metabolism and calcium-channel blockers in fertility-preserving endometrial cancer treatment, not as a nutritional incidence exposure.
40593394 | 2026-03-01 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine is merely part of a designed peptide motif tested for breast cancer cell inhibition and is not studied as a nutritional exposure.
40640512 | 2026-02-01 | first | S1-NOT-DIRECT | Quercetin | Breast cancer | Quercetin is evaluated computationally as a candidate breast cancer therapy rather than as an exposure associated with incidence.
40641393 | 2026-07-01 | first | S1-NOT-DIRECT | Leucine | Breast cancer | Leucine is used as a chemical conjugate of alpha-mangostin in drug design and is not assessed as a nutritional breast cancer risk factor.
40641393 | 2026-07-01 | first | S1-NOT-DIRECT | Mangosteen | Breast cancer | Mangosteen is mentioned only as the source of alpha-mangostin in a computational breast cancer drug-design study.
40690538 | 2026-04-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | The article tests synthesized copper oxide nanoparticles against breast cancer cells and does not assess nutritional copper exposure or incidence.
40690538 | 2026-04-01 | first | S1-NOT-DIRECT | Tea | Breast cancer | Black tea extract is used only to synthesize nanoparticles for anticancer testing and is not studied as a dietary breast cancer risk exposure.
40694938 | 2026-02-01 | first | S1-NOT-DIRECT | Copper | Breast cancer | Copper is a component of an experimental breast cancer treatment platform, not a nutritional exposure studied in relation to breast cancer incidence.
40709810 | 2026-06-20 | first | S1-NOT-DIRECT | Ribose | Ovarian cancer | Ribose appears only within the name poly(ADP-ribose) polymerase, while the study concerns BRCA mutations and ovarian cancer prognosis.
